title,authors,year,subject,cover_url,filename
Harry Potter and the Goblet of Fire,"J. K. Rowling, Jim Kay",1993,fantasy,http://covers.openlibrary.org/b/id/12059372-L.jpg,book_covers\51_Harry_Potter_and_the_Goblet_of_Fire.jpg
Charlie and the Chocolate Factory,Roald Dahl,1964,fantasy,http://covers.openlibrary.org/b/id/12459564-L.jpg,book_covers\52_Charlie_and_the_Chocolate_Factory.jpg
A Princess of Mars,Edgar Rice Burroughs,1917,fantasy,http://covers.openlibrary.org/b/id/207226-L.jpg,book_covers\53_A_Princess_of_Mars.jpg
The Princess and the Goblin,George MacDonald,1907,fantasy,http://covers.openlibrary.org/b/id/14363454-L.jpg,book_covers\54_The_Princess_and_the_Goblin.jpg
Cien años de soledad,Gabriel García Márquez,1967,fantasy,http://covers.openlibrary.org/b/id/12627383-L.jpg,book_covers\55_Cien_años_de_soledad.jpg
Harry Potter and the Order of the Phoenix,J. K. Rowling,2003,fantasy,http://covers.openlibrary.org/b/id/10523466-L.jpg,book_covers\56_Harry_Potter_and_the_Order_of_the_Phoenix.jpg
The wood beyond the world,"William Morris, William Norris, William, Morris, William Morris, William William Morris, WILLIAM MORRIS, Random House",1894,fantasy,http://covers.openlibrary.org/b/id/5895767-L.jpg,book_covers\57_The_wood_beyond_the_world.jpg
The water-babies,"Charles Kingsley, Charles Kingsley",1863,fantasy,http://covers.openlibrary.org/b/id/8785097-L.jpg,book_covers\58_The_water-babies.jpg
Sylvie and Bruno,Lewis Carroll,1889,fantasy,http://covers.openlibrary.org/b/id/8243045-L.jpg,book_covers\59_Sylvie_and_Bruno.jpg
Jurgen,James Branch Cabell,1919,fantasy,http://covers.openlibrary.org/b/id/5553063-L.jpg,book_covers\60_Jurgen.jpg
The Horse and His Boy,C.S. Lewis,1954,fantasy,http://covers.openlibrary.org/b/id/9184792-L.jpg,book_covers\61_The_Horse_and_His_Boy.jpg
Wet Magic,Edith Nesbit,1937,fantasy,http://covers.openlibrary.org/b/id/854565-L.jpg,book_covers\62_Wet_Magic.jpg
Peter Pan in Kensington Gardens,J. M. Barrie,1906,fantasy,http://covers.openlibrary.org/b/id/2977086-L.jpg,book_covers\63_Peter_Pan_in_Kensington_Gardens.jpg
The Magician's Nephew,C.S. Lewis,1955,fantasy,http://covers.openlibrary.org/b/id/1072931-L.jpg,book_covers\64_The_Magician's_Nephew.jpg
The Master Key,L. Frank Baum,1901,fantasy,http://covers.openlibrary.org/b/id/2838027-L.jpg,book_covers\65_The_Master_Key.jpg
"The Lion, the Witch and the Wardrobe",C.S. Lewis,1950,fantasy,http://covers.openlibrary.org/b/id/8441376-L.jpg,"book_covers\66_The_Lion,_the_Witch_and_the_Wardrobe.jpg"
James and the Giant Peach,Roald Dahl,1961,fantasy,http://covers.openlibrary.org/b/id/8252454-L.jpg,book_covers\67_James_and_the_Giant_Peach.jpg
Charlotte's Web,E. B. White,1952,fantasy,http://covers.openlibrary.org/b/id/8461797-L.jpg,book_covers\68_Charlotte's_Web.jpg
