title,authors,year,subject,cover_url,filename,doc_id,dominant_color,surrogate_text
Slappy's tales of horror,"Jamie Tolagson, Ted Naifeh, Dave Roman, Robert Lawrence Stine",2015,horror,http://covers.openlibrary.org/b/id/11714771-L.jpg,book_covers\977_Slappy's_tales_of_horror.jpg,977,"rgb(91, 58, 47)","Slappy's tales of horror Jamie Tolagson, Ted Naifeh, Dave Roman, Robert Lawrence Stine horror 2015 rgb(91, 58, 47)"
Riding the Bullet,Stephen King,2000,horror,http://covers.openlibrary.org/b/id/10713065-L.jpg,book_covers\978_Riding_the_Bullet.jpg,978,"rgb(70, 61, 41)","Riding the Bullet Stephen King horror 2000 rgb(70, 61, 41)"
Pride and Prejudice,Jane Austen,1813,historical_fiction,http://covers.openlibrary.org/b/id/14348537-L.jpg,book_covers\979_Pride_and_Prejudice.jpg,979,"rgb(174, 57, 36)","Pride and Prejudice Jane Austen historical_fiction 1813 rgb(174, 57, 36)"
Wuthering Heights,Emily Brontë,1846,historical_fiction,http://covers.openlibrary.org/b/id/12818862-L.jpg,book_covers\980_Wuthering_Heights.jpg,980,"rgb(36, 34, 40)","Wuthering Heights Emily Brontë historical_fiction 1846 rgb(36, 34, 40)"
Emma,Jane Austen,1815,historical_fiction,http://covers.openlibrary.org/b/id/9278312-L.jpg,book_covers\981_Emma.jpg,981,"rgb(84, 52, 43)","Emma Jane Austen historical_fiction 1815 rgb(84, 52, 43)"
Oliver Twist,Charles Dickens,1822,historical_fiction,http://covers.openlibrary.org/b/id/13300802-L.jpg,book_covers\982_Oliver_Twist.jpg,982,"rgb(28, 24, 29)","Oliver Twist Charles Dickens historical_fiction 1822 rgb(28, 24, 29)"
A Tale of Two Cities,"Charles Dickens, Aedi Abraham, Juan Ramon Torregrosa, Francisco Manuel GRANADO CASTRO, Hablot K. BROWNE, Fred BARNARD, Alejo García Moreno, Salustiano Masó Simón, Juan Ramon Torregrosa Torregrosa, Victor G Ambrus, Laura Santamaria, Laura Santamaria, J. J. Bernier, maxi sanchez, jaime arbe, Marion Leighton, Miguel Muñoz, Julius Julius Seybt, Julius Seybt",1800,historical_fiction,http://covers.openlibrary.org/b/id/13301713-L.jpg,book_covers\983_A_Tale_of_Two_Cities.jpg,983,"rgb(46, 81, 73)","A Tale of Two Cities Charles Dickens, Aedi Abraham, Juan Ramon Torregrosa, Francisco Manuel GRANADO CASTRO, Hablot K. BROWNE, Fred BARNARD, Alejo García Moreno, Salustiano Masó Simón, Juan Ramon Torregrosa Torregrosa, Victor G Ambrus, Laura Santamaria, Laura Santamaria, J. J. Bernier, maxi sanchez, jaime arbe, Marion Leighton, Miguel Muñoz, Julius Julius Seybt, Julius Seybt historical_fiction 1800 rgb(46, 81, 73)"
Treasure Island,Robert Louis Stevenson,1880,historical_fiction,http://covers.openlibrary.org/b/id/13859660-L.jpg,book_covers\984_Treasure_Island.jpg,984,"rgb(143, 154, 153)","Treasure Island Robert Louis Stevenson historical_fiction 1880 rgb(143, 154, 153)"
Little Women,Louisa May Alcott,1848,historical_fiction,http://covers.openlibrary.org/b/id/8775559-L.jpg,book_covers\985_Little_Women.jpg,985,"rgb(215, 87, 70)","Little Women Louisa May Alcott historical_fiction 1848 rgb(215, 87, 70)"
Gulliver's Travels,Jonathan Swift,1726,historical_fiction,http://covers.openlibrary.org/b/id/12717083-L.jpg,book_covers\986_Gulliver's_Travels.jpg,986,"rgb(16, 14, 9)","Gulliver's Travels Jonathan Swift historical_fiction 1726 rgb(16, 14, 9)"
